Date,State,Cases,Deaths
2023,Alabama,1648385,21631
2023,Alaska,308893,1438
2023,Arizona,2451062,33190
2023,Arkansas,1008303,13068
2023,California,12169158,104277
2023,Colorado,1771010,14245
2023,Connecticut,978456,12270
2023,Delaware,332861,3352
2023,District of Columbia,178226,1432
2023,Florida,7542869,87141
2023,Georgia,2984923,41055
2023,Hawaii,372408,1851
2023,Idaho,522919,5456
2023,Illinois,4107931,41618
2023,Indiana,2054533,26179
2023,Iowa,907421,10770
2023,Kansas,940815,10232
2023,Kentucky,1723443,18348
2023,Louisiana,1580709,18835
2023,Maine,319997,2981
2023,Maryland,1369930,16672
2023,Massachusetts,2230150,24441
2023,Michigan,3068195,42311
2023,Minnesota,1784263,14964
2023,Mississippi,993035,13431
2023,Missouri,1794207,23998
2023,Montana,330875,3701
2023,Nebraska,570835,5068
2023,Nevada,892814,12093
2023,New Hampshire,379689,3018
2023,New Jersey,3057442,36097
2023,New Mexico,673541,9110
2023,New York,6805271,80109
2023,North Carolina,3481732,29746
2023,North Dakota,288106,2529
2023,Ohio,3415254,42061
2023,Oklahoma,1295832,16549
2023,Oregon,967156,9451
2023,Pennsylvania,3539135,50701
2023,Rhode Island,461788,3915
2023,South Carolina,1840458,20192
2023,South Dakota,280525,3222
2023,Tennessee,2459152,29035
2023,Texas,8447168,94518
2023,Utah,1093049,5316
2023,Vermont,153198,939
2023,Virginia,2298300,23782
2023,Washington,1940704,15905
2023,West Virginia,645710,8132
2023,Wisconsin,2014524,16485
2023,Wyoming,185800,2014
