Date,State,Cases,Deaths
2022,Alabama,1573637,21208
2022,Alaska,301774,1408
2022,Arizona,2378334,32182
2022,Arkansas,985493,12703
2022,California,11826466,100865
2022,Colorado,1734673,13899
2022,Connecticut,948001,11781
2022,Delaware,321888,3206
2022,District of Columbia,173626,1411
2022,Florida,7269428,83911
2022,Georgia,2898584,39964
2022,Hawaii,363188,1758
2022,Idaho,511722,5329
2022,Illinois,3976840,40678
2022,Indiana,2002760,25364
2022,Iowa,886411,10424
2022,Kansas,917091,9859
2022,Kentucky,1660077,17751
2022,Louisiana,1514113,18370
2022,Maine,306647,2811
2022,Maryland,1318510,16034
2022,Massachusetts,2154886,22940
2022,Michigan,2979504,40767
2022,Minnesota,1736893,14320
2022,Mississippi,955145,13124
2022,Missouri,1743492,23282
2022,Montana,323245,3639
2022,Nebraska,556647,4843
2022,Nevada,876118,11880
2022,New Hampshire,367542,2856
2022,New Jersey,2926834,35533
2022,New Mexico,659056,8828
2022,New York,6563605,77722
2022,North Carolina,3316814,28789
2022,North Dakota,280583,2474
2022,Ohio,3307568,41018
2022,Oklahoma,1250013,16054
2022,Oregon,939303,8967
2022,Pennsylvania,3416142,48972
2022,Rhode Island,443645,3800
2022,South Carolina,1770059,19385
2022,South Dakota,271856,3138
2022,Tennessee,2367936,28274
2022,Texas,8111323,92709
2022,Utah,1075137,5187
2022,Vermont,148393,791
2022,Virginia,2205518,22793
2022,Washington,1883676,15067
2022,West Virginia,624721,7795
2022,Wisconsin,1960884,15860
2022,Wyoming,182847,1959
